N_id,Title,Main Genre,Sub Genres,Release Year,Maturity Rating,Original Audio,Recommendations
60020782,America's Sweethearts,Comedy,"Romantic Comedies, Comedy, Romantic, US",2001,U/A 13+,"Hindi, English [Original]","60022922, 60033290, 21304015, 60036227, 70044867, 80047616, 70093223, 60026122, 60000880, 70103758, 828487, 60001947"
60020801,Rush Hour 2,Action,"Crime, Comedy, Martial Arts, Action & Adventure, US",2001,U/A 13+,"Hindi, English [Original]","70044593, 70184054, 60001650, 70027007, 70286698, 80094318, 215309, 81762792, 70059988, 17236928, 60022059, 80067830"
60020810,Spirit: Stallion of the Cimarron,Kids,"Family, Children & Family, Drama, Westerns, Social Issue Dramas, US",2002,U/A 7+,"English [Original], Hindi, English - Audio Description","60034386, 80115432, 70267728, 70099116, 81054417, 70021636, 80071348, 80245121, 80095314, 80013941, 81094271, 70075480"
60021525,Dil Chahta Hai,Drama,"Hindi-Language, Bollywood, Romantic Comedies, Drama, Comedy, Romantic",2001,U/A 13+,Hindi [Original],"80057585, 70181653, 80087743, 80032081, 70202336, 60036735, 70123119, 70109680, 70047320, 70276515, 70019491, 70139071"
60021758,Asoka,Action,"Hindi-Language, Bollywood, Drama, Romantic, Action & Adventure",2001,U/A 16+,Hindi [Original],"17671454, 60036112, 70057651, 70039405, 70090035, 80104257, 60036752, 70083535, 81227047, 70000196, 70115621, 60036750"
60022059,National Security,Action,"Crime, Comedy, Action & Adventure, US",2003,U/A 13+,"Hindi, English [Original]","60020801, 60031216, 70127228, 70097577, 80094318, 70118780, 80232655, 70286698, 70059988, 81251628, 70021637, 80067830"
60022265,Big Fat Liar,Comedy,"Family, Children & Family, Comedy, US",2002,U/A 7+,"English [Original], Hindi, English - Audio Description","81595480, 81305096, 81222715, 1152469, 60033311, 81570889, 81011712, 80031800, 21303955, 80105067, 70033005, 81623335"
60022266,Crossroads,Comedy,"Romantic Comedies, Comedy, Romantic, Teen, US",2002,A,"English [Original], English - Audio Description","60033290, 21304015, 60020782, 70098895, 80220496, 70093223, 60026122, 70103758, 828487, 70117577, 60001947, 81132038"
60022700,Panic Room,Thriller,"Crime, Thriller, US",2002,A,"Hindi, English [Original]","81345983, 950149, 80206420, 81488262, 81342505, 81128579, 80223997, 60022967, 81092222, 81449034, 81157374, 81767564"
60022922,Jerry Maguire,Comedy,"Romantic Comedies, Drama, Comedy, Romantic, Sports, US",1996,U/A 16+,"Hindi, English [Original]","60034545, 21304015, 937499, 70201437, 80047616, 5670418, 70019506, 70093223, 60026122, 828487, 70127226, 70142888"
60022967,Enough,Thriller,"Drama, Thriller, Social Issue Dramas, US",2002,U/A 16+,"Hindi, English [Original]","80210920, 60010341, 60022700, 70113299, 60000165, 60000880, 797261, 8179348, 81043365, 81127902, 80998968, 81028975"
60023237,Y Tu Mamá También,Drama,"Mexican, Drama, Independent",2001,A,Spanish Latin America [Original],"81303838, 81779693, 81357618, 81644787, 70298433, 81304948, 70241340, 80240715, 80118002, 81476441, 70059993, 60036227"
60023642,Spirited Away,Anime,"Family, Japanese, Anime Features",2001,U/A 13+,"Japanese [Original], English, Hindi","80217130, 70106454, 70045021, 70019058, 81565710, 70019062, 60032294, 60027106, 80158156, 70216227, 70028883, 60027393"
60024179,Mobile Suit Gundam: Char's Counterattack,Anime,"Sci-Fi & Fantasy Anime, Action Anime, Sci-Fi, Japanese, Action & Adventure, Anime Features",1988,U/A 13+,"English, Japanese [Original]","81217220, 80231373, 60024788, 81033445, 81186862, 80174608, 81439253, 81002003, 81943491, 70014611, 81276500, 81002438"
60024788,The End of Evangelion,Anime,"Sci-Fi & Fantasy Anime, Action Anime, Sci-Fi, Japanese, Action & Adventure, Anime Features",1997,A,"English, Japanese [Original]","81736884, 80179831, 80174974, 28630857, 80001305, 81033445, 80174608, 81033473, 81439253, 81054853, 81663325, 80243876"
60024924,Half Past Dead,Action,"Crime, Action & Adventure, US",2002,U/A 16+,"Hindi, English [Original]","81253859, 60031216, 70101697, 70140907, 81086887, 70023960, 265929, 70062784, 60001867, 70099114, 80200961, 70278930"
60024979,Punch-Drunk Love,Drama,"Romantic Comedies, Drama, Comedy, Romantic, US",2002,U/A 16+,"Hindi, English [Original]","70117577, 80223779, 70125231, 80063265, 80990663, 80183328, 60023237, 80126569, 60033311, 80174434, 70021637, 70220030"
60026114,Final Destination 2,Horror,"Horror, US",2003,A,"Hindi, English [Original]","70053460, 81639205, 70291092, 70043240, 81644122, 70206131, 60036256, 70178620, 70113006, 81753224, 81198941, 70042687"
60026122,How to Lose a Guy in 10 Days,Comedy,"Romantic Comedies, Comedy, Romantic, Based on Books, US",2003,U/A 13+,"English [Original], Hindi, English - Audio Description","60033290, 21304015, 80239019, 81760229, 70044867, 80047616, 70093223, 70103758, 828487, 60036227, 80184100, 60001947"
60027106,Kiki’s Delivery Service,Kids,"Family, Children & Family, Japanese, Anime based on Books, Based on Books, Anime Features",1989,U/A 7+,"Japanese [Original], English, Hindi","80217130, 70106454, 81316559, 60023642, 70045021, 70019058, 81565710, 70019062, 60032294, 70216227, 70028883, 60027393"
60027393,Castle in the Sky,Kids,"Family, Children & Family, Japanese, Anime Features",1986,U/A 7+,"English, Japanese [Original]","80217130, 70106454, 60023642, 70045021, 70019058, 81478031, 81565710, 70019062, 60032294, 60027106, 70216227, 70028883"
60027713,2 Fast 2 Furious,Action,"Crime, Action & Adventure, US",2003,U/A 16+,"Hindi, English [Original], Tamil, Telugu, English - Audio Description","70044885, 60020747, 70184054, 81227923, 70103761, 80142090, 70140907, 80124486, 81073022, 81762792, 70059988, 17236928"
60029176,Lara Croft Tomb Raider: The Cradle of Life,Action,"Action & Adventure, US",2003,U/A 13+,"Hindi, English [Original], Tamil, Telugu, English - Audio Description","81361105, 81388316, 80084088, 60004467, 60020549, 70307658, 80161352, 81002746, 20559714, 765912, 70127226, 70142888"
60031216,Welcome to the Jungle,Action,"Comedy, Action & Adventure, US",2003,U/A 16+,"Hindi, Telugu, English [Original], Tamil","70178621, 80027980, 70127228, 70140907, 80233783, 80094318, 80216309, 215309, 81161626, 60022059, 215318, 70097578"
60031683,Pumping Iron,Documentary,"Documentaries, Based on Books, Sports, US",1977,U/A 16+,English [Original],"81436688, 81048394, 81331076, 80203144, 81312877, 81450717, 70170051, 81317673, 81157840, 81133260, 81231181, 80187722"
60032294,My Neighbor Totoro,Kids,"Family, Children & Family, Japanese, Anime Features",1988,U,"Japanese [Original], English, Hindi","80217130, 70106454, 60023642, 70045021, 70019058, 70019062, 81451264, 60027106, 80158156, 70216227, 70028883, 60027393"
60033290,First Daughter,Comedy,"Romantic Comedies, Comedy, Romantic, Teen, US",2004,U/A 13+,English [Original],"80239019, 21304015, 80242926, 60020782, 70098895, 70093223, 60026122, 60022266, 70103758, 828487, 60001947, 81228331"
60033311,50 First Dates,Comedy,"Romantic Comedies, Comedy, Romantic, US",2004,U/A 16+,"Hindi, English [Original]","80242619, 21304015, 80239019, 70125231, 70267242, 21303955, 60026122, 80183328, 70103758, 60036227, 70021637, 70220030"
60033326,The Girl Next Door,Comedy,"Romantic Comedies, Comedy, Romantic, Teen, US",2004,A,English [Original],"70301476, 81580024, 70167075, 81388078, 81715819, 81760229, 70227648, 81747490, 60036227, 81508217, 60001947, 80158583"
60033343,Anchorman: The Legend of Ron Burgundy,Comedy,"Satires, Comedy, US",2004,U/A 16+,"English [Original], Hindi, English - Audio Description","80244088, 80059064, 70283197, 70127228, 80186979, 80064512, 80243600, 21303955, 215309, 70112729, 81004274, 80037476"
60033498,La ley de Herodes,Comedy,"Mexican, Satires, Comedy",1999,A,Spanish Latin America [Original],"81728085, 81449035, 81093934, 81357618, 80200267, 81640439, 80244123, 81552473, 70055221, 80032640, 81497494, 80238434"
60034386,The Swan Princess,Kids,"Children & Family, Kids Music, Musicals, US",1994,U/A 7+,"Hindi, English [Original]","80217130, 81607651, 60020810, 81316559, 81383247, 70300626, 81136524, 81745658, 80192815, 70216227, 70033005, 70180051"
60034545,Eternal Sunshine of the Spotless Mind,Drama,"Sci-Fi, Drama, Independent, Romantic, US",2004,U/A 16+,"English [Original], Hindi, English - Audio Description","81349306, 880640, 80208802, 70305903, 80223779, 5670418, 81140933, 70059993, 786137, 828487, 60036227, 268371"
60034929,She's Gotta Have It,Comedy,"Romantic Comedies, Comedy, Independent, Romantic, US",1986,A,English [Original],"80117554, 81354524, 81053303, 80202920, 81567028, 81476441, 81578318, 80991848, 80996324, 80212986, 80095698, 80095699"
60035870,Hum Aapke Hain Koun,Drama,"Hindi-Language, Bollywood, Drama, Romantic, Based on Books",1994,U/A 13+,Hindi [Original],"60036112, 70057651, 60000722, 70052249, 70090035, 60036735, 80091866, 60036752, 70083535, 70000196, 80074065, 60036750"
60036112,Chalte Chalte,Romance,"Hindi-Language, Bollywood, Drama, Romantic",2003,U/A 13+,Hindi [Original],"17671454, 70057651, 60000722, 70039405, 80074065, 60036735, 70083535, 60036752, 80156935, 70000196, 70115621, 60036750"
60036227,The Notebook,Drama,"Drama, Romantic, Based on Books, US",2004,A,"Hindi, English [Original]","60034545, 80208802, 21304015, 81043665, 5670418, 81140933, 81762778, 60026122, 70059993, 786137, 60023237, 81747490"
